实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,-475,0,25,,,,,,,,
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,-475,0,37.5,,,,,,,,
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,605,-0,25,,,,,,,,
CIRCLE,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,605,-0,37.5,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,168,<>,59.9,-84,55.884,-84,65.924,84,,,,,,,90,32,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-355,25,-215,25,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-355,-25,-215,-25,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-415.865,21.5,-428.278,0,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-415.865,-21.5,-428.278,0,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-415.865,21.5,-415.865,-21.5,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-30,70,-30,25,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-30,-25,-30,-70,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,30,70,30,25,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,30,-25,30,-70,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,215,-25,326,-25,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,215,25,326,25,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-150,25,150,25,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-150,-25,150,-25,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,140,<>,-355,119.285,-355,62,-215,84,,,,,,,-0,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,458,<>,-208,142.41,-208,84,250,84,,,,,,,0,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,125,<>,330,39.623,330,16.923,455,7.171,,,,,,,0,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,740,<>,-410,-143.063,-410,-23,330,-23.544,,,,,,,-0,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,100,<>,505,112.718,505,-0,605,-0,,,,,,,0,32,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-340,-36.127,-340,36.127,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-337,-40,-337,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-333,-40,4,,,,,,180,0,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-329,-40,-329,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-333,40,4,,,,,,0,180,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-321,-40,-321,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-317,-40,4,,,,,,180,0,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-313,-40,-313,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-317,40,4,,,,,,0,180,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-305,-40,-305,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-301,-40,4,,,,,,180,0,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-297,-40,-297,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-301,40,4,,,,,,0,180,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-289,-40,-289,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-285,-40,4,,,,,,180,0,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-281,-40,-281,40,,,,,,,,,,,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-285,40,4,,,,,,360,180,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-341,40,4,,,,,,284.478,0,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-325,40,4,,,,,,180,0,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-309,40,4,,,,,,180,0,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-293,40,4,,,,,,180,360,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-341,-40,4,,,,,,0,75.522,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-325,-40,4,,,,,,0,180,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-309,-40,4,,,,,,0,180,
ARC,粗实线层,2,BYLAYER,-1,,,,,,,,,,,,,-293,-40,4,,,,,,0,180,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-215,-65,-215,65,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-340,28.5,-355,28.5,,,,,,,,,,,
LINE,粗实线层,2,BYLAYER,-1,,,,,,,,,-340,-28.5,-355,-28.5,,,,,,,,,,,
